,DATE,Vms,Ta,RH,VPDhpa,SVWC30cm,Rn,PPFD,Rainfall,Month,Day,year,time,DOY,Cof,G,NEE,LE
26,2019/1/1 12:30,1.1,-1.5,98,0.1,27,26.1,96.5,0,1,1,2019,12.5,1,403.8797425,-31.33333333,0.044660913,44.85891276
27,2019/1/1 13:00,0.7,-1.3,100,0,27,21.5,80.8,0,1,1,2019,13,1,397.0995673,-31.2,0.045705718,40.08585895
28,2019/1/1 13:30,0.9,-1.3,99,0,27,21.3,78.5,0,1,1,2019,13.5,1,395.3534922,-30.83333333,0.046233689,39.74245302
29,2019/1/1 14:00,1,-1.1,97,0.1,27,17.8,68.1,0,1,1,2019,14,1,402.7875209,-30.56666667,0.046765378,38.36025254
30,2019/1/1 14:30,1.1,-1.2,96,0.2,27,15.6,60.5,0,1,1,2019,14.5,1,389.9350244,-40.50514855,0.046233689,67.0597422
31,2019/1/1 15:00,1.1,-1.1,96,0.2,27,14.1,56,0,1,1,2019,15,1,389.0053647,-30.1,0.046765378,56.43304384
32,2019/1/1 15:30,1.1,-1.1,96,0.2,27,13,53.4,0,1,1,2019,15.5,1,388.8333091,-29.9,0.046765378,43.09865096
33,2019/1/1 16:00,1.8,-1.1,97,0.2,27,16.8,66.4,0,1,1,2019,16,1,388.6423682,-29.8,0.047300789,36.76140666
34,2019/1/1 16:30,1.2,-1.1,97,0.2,27,8.1,32.6,0,1,1,2019,16.5,1,388.9394949,-29.7,0.046765378,39.92131345
35,2019/1/1 17:00,1,-1.1,96,0.2,27,5.1,23.5,0,1,1,2019,17,1,389.9326828,-29.63333333,0.046765378,37.00555939
36,2019/1/1 17:30,1.3,-1,93,0.4,27,2.2,13.2,0,1,1,2019,17.5,1,390.1878137,-29.53333333,0.047300789,34.08980532
37,2019/1/1 18:00,1.1,-1,94,0.3,27.05,0.1,0,0,1,1,2019,18,1,390.8742541,-29.36666667,0.029539269,27.76101827
38,2019/1/1 18:30,0.8,-1.1,96,0.2,27.05,-0.3,0,0,1,1,2019,18.5,1,391.5918478,-29.26666667,0.046765378,26.24081133
39,2019/1/1 19:00,1,-1.1,95,0.3,27.05,-0.5,0,0,1,1,2019,19,1,391.7104541,-29.23333333,0.046765378,30.51786498
40,2019/1/1 19:30,0.9,-1.1,96,0.2,27.1,-0.5,0,0,1,1,2019,19.5,1,392.1557114,-29.2,0.010359447,5.73329594
41,2019/1/1 20:00,0.6,-1.1,97,0.2,27.05,-0.4,0,0,1,1,2019,20,1,392.6015286,-29.2,0.021686556,7.984907315
42,2019/1/1 20:30,0.6,-1.2,97,0.2,27.05,-0.6,0,0,1,1,2019,20.5,1,393.3449816,-29.13333333,0.033013665,10.23651869
43,2019/1/1 21:00,1.4,-1.2,97,0.2,27.05,-0.6,0,0,1,1,2019,21,1,393.5409111,-29.03333333,0.021074246,13.16898034
44,2019/1/1 21:30,1.3,-1.2,96,0.2,27.05,-0.3,0,0,1,1,2019,21.5,1,393.0935158,-29,0.046233689,27.05559006
45,2019/1/1 22:00,1.2,-1.2,96,0.3,27.05,-0.5,0,0,1,1,2019,22,1,393.478401,-28.93333333,0.046233689,37.2492868
46,2019/1/1 22:30,1.1,-1.2,96,0.2,27.05,-0.6,0,0,1,1,2019,22.5,1,396.4640224,-28.86666667,0.045705718,22.59140421
47,2019/1/1 23:00,0.7,-1.1,98,0.1,27.05,1.4,0,0,1,1,2019,23,1,404.2977916,-28.8,0.047300789,19.23116793
48,2019/1/1 23:30,0.6,-1,100,0,27.05,3,0,0,1,1,2019,23.5,1,406.4261642,-28.8,0.047839927,19.23116793
49,2019/1/2 0:00,0.6,-0.9,100,0,27.05,2.7,0,0,1,2,2019,0,2,407.5479102,-29.1,0.047839927,19.23116793
50,2019/1/2 0:30,0.9,-0.9,100,0,27.1,2.8,0,0,1,2,2019,0.5,2,402.9919131,-39.37722388,0.048382795,19.23116793
51,2019/1/2 1:00,0.7,-0.7,100,0,27.1,1.7,0,0,1,2,2019,1,2,394.1366533,-29.43333333,0.049479739,19.23116793
52,2019/1/2 1:30,0.6,-0.7,100,0,27.15,1.5,0,0,1,2,2019,1.5,2,393.8089079,-40.66250699,0.049479739,19.23116793
53,2019/1/2 2:00,0.9,-0.7,100,0,27.15,1.6,0,0,1,2,2019,2,2,395.5209952,-31.36666667,0.049479739,19.23116793
54,2019/1/2 2:30,1.1,-0.8,100,0,27.15,2,0,0,1,2,2019,2.5,2,392.0917556,-42.3477901,0.048929398,19.23116793
55,2019/1/2 3:00,0.8,-0.8,100,0,27.15,2,0,0,1,2,2019,3,2,391.6113237,-42.39043166,0.048929398,19.23116793
56,2019/1/2 3:30,1.1,-0.9,100,0,27.2,2.3,0,0,1,2,2019,3.5,2,392.1811329,-77.94789107,0.048382795,19.23116793
57,2019/1/2 4:00,1,-0.9,99,0.1,27.2,2.9,0,0,1,2,2019,4,2,393.0342228,-49.82615543,0.047839927,19.23116793
58,2019/1/2 4:30,1.5,-1,97,0.2,27.2,3.2,0,0,1,2,2019,4.5,2,393.4987116,-49.83005499,0.047839927,19.23116793
59,2019/1/2 5:00,0.9,-0.9,99,0.1,27.2,3.6,0,0,1,2,2019,5,2,392.0397623,-38.7,0.047839927,19.23116793
60,2019/1/2 5:30,0.5,-0.8,100,0,27.2,2.6,0,0,1,2,2019,5.5,2,396.1017793,-37.96666667,0.048382795,19.23116793
61,2019/1/2 6:00,1.1,-0.9,99,0,27.2,2.9,0,0,1,2,2019,6,2,393.3520572,-37.7,0.048382795,19.23116793
62,2019/1/2 6:30,1,-0.9,97,0.2,27.25,3.8,0,0,1,2,2019,6.5,2,394.1801253,-26.47145412,0.047839927,19.23116793
63,2019/1/2 7:00,0.7,-1,98,0.1,27.3,2.6,0,0,1,2,2019,7,2,394.5587238,-35.46666667,0.047839927,19.23116793
64,2019/1/2 7:30,0.4,-0.9,100,0,27.3,0.3,0.6,0,1,2,2019,7.5,2,395.5043547,-23.61019612,0.047839927,19.23116793
65,2019/1/2 8:00,0.6,-1.1,99,0,27.3,1.7,9.1,0,1,2,2019,8,2,396.334828,-32.86666667,0.047839927,30.21519424
66,2019/1/2 8:30,0.5,-1,97,0.2,27.3,11.1,39,0,1,2,2019,8.5,2,396.7974945,-21.59007057,0.046765378,36.42501153
67,2019/1/2 9:00,0.4,-0.8,100,0,27.35,19.4,74.2,0,1,2,2019,9,2,397.0875073,-31.23333333,0.047839927,38.36025254
68,2019/1/2 9:30,0.3,-0.6,98,0.1,27.35,31,120,0,1,2,2019,9.5,2,397.9566804,-19.8846619,0.048929398,44.85891276
69,2019/1/2 10:00,0.8,-0.6,95,0.3,27.35,59.4,214,0,1,2,2019,10,2,398.9685501,-18.86063679,0.049479739,56.92826951
70,2019/1/2 10:30,0.4,-0.4,97,0.1,27.4,70.4,265.8,0.1,1,2,2019,10.5,2,399.8872909,-27.93333333,0.050033821,51.57211974
71,2019/1/2 11:00,0.4,-0.3,99,0.1,27.4,66.3,256,0,1,2,2019,11,2,402.085368,-16.35522812,0.05059165,60.10083971
72,2019/1/2 11:30,0.5,-0.3,98,0.1,27.4,56.2,194.9,0.3,1,2,2019,11.5,2,404.2001679,-25.73333333,0.051153227,47.35107785
73,2019/1/2 12:00,0.5,-0.2,99,0.1,27.4,86,287.2,0.2,1,2,2019,12,2,404.8278728,-14.77384457,0.051153227,82.46864693
74,2019/1/2 12:30,0.5,0.1,96,0.2,27.4,137.6,417.8,0.5,1,2,2019,12.5,2,397.1252144,-24.43333333,-0.381832098,30.3663774
75,2019/1/2 13:00,0.6,0.6,95,0.3,27.45,177.3,491.1,0.3,1,2,2019,13,2,395.0686419,-24.16666667,-0.398984359,73.83754847
76,2019/1/2 13:30,0.6,1.1,90,0.6,27.45,258.4,564.5,0,1,2,2019,13.5,2,393.4087643,-25.53333333,-0.412555622,72.61178106
77,2019/1/2 14:00,0.7,1.4,86,0.9,27.5,368.7,683.6,0,1,2,2019,14,2,393.581787,-48.31684065,-0.429395353,155.2236371
78,2019/1/2 14:30,0.9,1.2,84,1.1,27.5,196.5,413.7,0.7,1,2,2019,14.5,2,391.7870646,-39.21081077,-0.38073725,80.45376853
79,2019/1/2 15:00,0.7,1.5,86,1,27.55,208.7,397.7,0.9,1,2,2019,15,2,390.271958,-29.4,-0.376303325,72.87918464
80,2019/1/2 15:30,1.2,1.4,85,1,27.65,150.8,286.1,0.6,1,2,2019,15.5,2,391.3936785,-40.63722632,-0.335995498,39.92712369
81,2019/1/2 16:00,1.3,1.3,88,0.8,27.8,105.2,195,0.6,1,2,2019,16,2,390.8222302,-29.56666667,-0.282853743,77.92764627
82,2019/1/2 16:30,1.1,1.1,92,0.5,27.95,87.3,176.5,0.7,1,2,2019,16.5,2,391.0035503,-29.03333333,-0.268259604,92.57075134
83,2019/1/2 17:00,0.8,1.2,89,0.7,28.05,64.6,143.3,0.6,1,2,2019,17,2,390.9968819,-28.3,-0.237195792,56.52480295
84,2019/1/2 17:30,0.7,1,92,0.6,28.15,20.3,54.9,0.3,1,2,2019,17.5,2,391.2861184,-27.46666667,-0.101395432,45.00924029
85,2019/1/2 18:00,0.7,0.9,92,0.5,28.15,3.2,21.7,0.2,1,2,2019,18,2,391.7186497,-26.8,-0.010702757,34.87694216
86,2019/1/2 18:30,0.6,0.9,93,0.4,28.15,-4,0,0.1,1,2,2019,18.5,2,392.7318429,-15.71862301,0.054017462,18.93863493
87,2019/1/2 19:00,0.4,0.8,94,0.4,28.15,-3.6,0,0.2,1,2,2019,19,2,392.8846567,-25.8,0.054017462,19.00767308
88,2019/1/2 19:30,0.2,0.7,97,0.2,28.2,-3,0,0.1,1,2,2019,19.5,2,394.32412,-25.2,0.054017462,19.03283872
89,2019/1/2 20:00,0.2,0.6,100,0,28.15,-1.2,0,0.1,1,2,2019,20,2,394.7974254,-14.01321434,0.054017462,19.11186041
90,2019/1/2 20:30,0.2,0.5,100,0,28.15,-2.1,0,0,1,2,2019,20.5,2,395.1476449,-24.06666667,0.054017462,19.14261125
91,2019/1/2 21:00,0.3,0.4,100,0,28.15,-1.7,0,0.1,1,2,2019,21,2,395.3889299,-23.63333333,0.053437092,19.12692431
92,2019/1/2 21:30,0.3,0.5,100,0,28.15,0.3,0,0.1,1,2,2019,21.5,2,396.6565413,-12.92101345,0.053437092,19.26214507
93,2019/1/2 22:00,0.6,0.5,100,0,28.2,1.1,0,0.1,1,2,2019,22,2,398.5238527,-23.1,0.053437092,19.41068415
94,2019/1/2 22:30,0.4,0.5,100,0,28.1,1.3,0,0.1,1,2,2019,22.5,2,397.3820251,-22.86666667,0.054017462,19.29771636
95,2019/1/2 23:00,0.3,0.4,100,0,28.1,1.4,0,0,1,2,2019,23,2,396.7650177,-22.7,0.054017462,19.06292456
96,2019/1/2 23:30,0.6,0.5,100,0,28.1,0.2,0,0.1,1,2,2019,23.5,2,398.3590256,-12.07686279,0.054017462,19.34214666
97,2019/1/3 0:00,0.6,0.5,100,0,28.1,-1.2,0,0.1,1,3,2019,0,3,398.9969036,-22.36666667,0.054017462,19.50051003
98,2019/1/3 0:30,0.3,0.5,100,0,28.1,-0.5,0,0.1,1,3,2019,0.5,3,399.2443988,-22.3,0.054017462,19.54223068
99,2019/1/3 1:00,0.2,0.5,100,0,28.05,-1.2,0,0.1,1,3,2019,1,3,399.6433335,-22.13333333,0.054017462,19.47133076
100,2019/1/3 1:30,0.4,0.5,100,0,28.05,-1.8,0,0.1,1,3,2019,1.5,3,398.9891662,-21.9,0.0546016,19.47133076
101,2019/1/3 2:00,0.6,0.5,100,0,28.05,-3.4,0,0,1,3,2019,2,3,399.1957855,-21.8,0.025190464,5.415438184
102,2019/1/3 2:30,1,0.5,100,0,28,-4.4,0,0.1,1,3,2019,2.5,3,400.3433144,-11.29007057,0.0546016,19.47133076
103,2019/1/3 3:00,0.4,0.4,100,0,28,-3.9,0,0.1,1,3,2019,3,3,400.4452751,-21.53333333,0.054017462,19.47133076
104,2019/1/3 3:30,0.4,0.5,100,0,28,-3.8,0,0.1,1,3,2019,3.5,3,400.6008886,-21.5,0.054017462,19.47133076
105,2019/1/3 4:00,0.3,0.4,100,0,28,-1.9,0,0,1,3,2019,4,3,401.9318755,-21.4,0.054017462,19.47133076
106,2019/1/3 4:30,0.3,0.4,100,0,28,-0.1,0,0.1,1,3,2019,4.5,3,403.9498628,-21.33333333,0.054017462,19.47133076
107,2019/1/3 5:00,0.5,0.4,100,0,27.95,-0.3,0,0,1,3,2019,5,3,403.550979,-21.23333333,0.054017462,19.47133076
108,2019/1/3 5:30,0.3,0.4,100,0,27.95,0.7,0,0.1,1,3,2019,5.5,3,402.5932712,-21,0.0546016,19.47133076
109,2019/1/3 6:00,0.7,0.4,100,0,27.95,-0.9,0,0.1,1,3,2019,6,3,402.2862692,-20.83333333,0.0546016,19.47133076
110,2019/1/3 6:30,0.8,0.4,100,0,27.9,-3,0,0.1,1,3,2019,6.5,3,402.2058408,-10.3459199,0.0546016,19.47133076
111,2019/1/3 7:00,0.4,0.4,100,0,27.9,-0.2,0,0.1,1,3,2019,7,3,402.8536452,-20.66666667,0.054017462,19.47133076
112,2019/1/3 7:30,0.3,0.5,100,0,27.9,2.3,0,0.1,1,3,2019,7.5,3,402.9192095,-20.7,0.0546016,19.47133076
113,2019/1/3 8:00,0.4,0.5,100,0,27.9,8.8,13.1,0.1,1,3,2019,8,3,402.7760166,-20.66666667,0.019440566,34.67930879
114,2019/1/3 8:30,1,0.5,100,0,27.9,20.3,38.8,0.1,1,3,2019,8.5,3,401.8647331,-20.5,-0.061753274,39.62844334
115,2019/1/3 9:00,0.4,0.7,100,0,27.85,50.8,89.1,0.1,1,3,2019,9,3,400.7350207,-20.16666667,-0.166665601,57.96539698
116,2019/1/3 9:30,0.4,1.1,100,0,27.85,53.9,101.8,0.3,1,3,2019,9.5,3,400.1277869,-9.421894788,-0.186093829,57.05897263
117,2019/1/3 10:00,0.5,1.3,100,0,27.85,88.6,161.8,0.3,1,3,2019,10,3,399.9205058,-19.16666667,-0.255364054,61.14339921
118,2019/1/3 10:30,0.5,1.7,98,0.2,27.85,115.3,213.9,0.4,1,3,2019,10.5,3,398.1430399,-18.3,-0.296163155,74.66511113
119,2019/1/3 11:00,0.7,1.9,95,0.4,27.85,78.8,156.5,0.5,1,3,2019,11,3,397.2898889,-17.4,-0.25039515,63.37654492
120,2019/1/3 11:30,0.6,2,95,0.3,27.8,80.1,159.8,0.1,1,3,2019,11.5,3,396.1659285,-6.436611677,-0.253510017,59.27317851
121,2019/1/3 12:00,0.6,2.1,94,0.5,27.8,57.1,119.3,0.2,1,3,2019,12,3,395.4119894,-16.36666667,-0.209680148,52.50649108
122,2019/1/3 12:30,0.5,2.2,93,0.5,27.8,64.3,136.4,0.3,1,3,2019,12.5,3,393.8291804,-16,-0.229784294,56.92826951
123,2019/1/3 13:00,0.5,2.4,92,0.6,27.8,79.3,163.7,0.4,1,3,2019,13,3,392.5510828,-15.73333333,-0.257102358,59.27317851
124,2019/1/3 13:30,0.6,2.2,91,0.6,27.8,58,125.3,0.7,1,3,2019,13.5,3,394.0472532,-15.26666667,-0.217035559,52.50649108
125,2019/1/3 14:00,0.6,2.2,96,0.3,27.8,77.3,160.4,0.7,1,3,2019,14,3,393.9781255,-15.06666667,-0.254068869,51.57211974
126,2019/1/3 14:30,0.4,2.3,95,0.4,27.8,72.7,148.9,0.8,1,3,2019,14.5,3,392.3534226,-4.379253233,-0.24294566,60.10083971
127,2019/1/3 15:00,0.4,2.4,94,0.4,27.8,47.1,101.6,0.7,1,3,2019,15,3,391.6945721,-14.33333333,-0.185804067,55.72415194
128,2019/1/3 15:30,0.4,2.4,94,0.4,27.8,34.3,77,0.6,1,3,2019,15.5,3,391.8105823,-14.2,-0.145985315,43.78189815
129,2019/1/3 16:00,0.3,2.4,95,0.3,27.8,38,78.7,0.7,1,3,2019,16,3,398.6881708,-14.1,-0.149032505,43.78189815
130,2019/1/3 16:30,0.4,2.3,98,0.1,27.75,31.6,65.5,0.6,1,3,2019,16.5,3,400.1130756,-14.03333333,-0.124011855,44.85891276
131,2019/1/3 17:00,0.3,2.3,98,0.1,27.75,21,49,0.5,1,3,2019,17,3,391.0510437,-13.9,-0.087675453,35.15468578
132,2019/1/3 17:30,0.3,2.4,99,0.1,27.75,10.2,25.6,0.5,1,3,2019,17.5,3,409.5021148,-3.473844566,-0.023305489,36.42501153
133,2019/1/3 18:00,0.4,2.2,100,0,27.75,1.7,7.2,0.7,1,3,2019,18,3,398.3897886,-13.8,0.042235614,30.21519424
134,2019/1/3 18:30,0.4,2.1,100,0,27.7,-1.1,0,0.6,1,3,2019,18.5,3,398.8408659,-13.86666667,0.063176421,19.47133076
135,2019/1/3 19:00,0.6,1.9,100,0,27.7,-1.3,0,0.7,1,3,2019,19,3,399.0348949,-14,0.063176421,19.47133076
136,2019/1/3 19:30,0.5,1.8,100,0,27.7,-0.9,0,0.5,1,3,2019,19.5,3,399.3669587,-14.23333333,0.062539305,19.47133076
137,2019/1/3 20:00,0.4,1.7,100,0,27.7,-1.1,0,0.4,1,3,2019,20,3,399.2264637,-14.4,0.061905986,19.47133076
138,2019/1/3 20:30,0.3,1.8,100,0,27.7,-1.3,0,0.4,1,3,2019,20.5,3,398.6238621,-14.63333333,0.061905986,19.47133076
139,2019/1/3 21:00,0.5,1.8,100,0,27.7,-1.8,0,0.4,1,3,2019,21,3,398.6208927,-14.73333333,0.061905986,19.47133076
140,2019/1/3 21:30,0.5,1.7,100,0,27.7,-2.4,0,0.3,1,3,2019,21.5,3,398.3892116,-4.479253233,0.061905986,19.47133076
141,2019/1/3 22:00,0.5,1.7,100,0,27.7,-1.6,0,0.3,1,3,2019,22,3,400.8364384,-14.9,0.061905986,19.47133076
142,2019/1/3 22:30,0.4,1.6,100,0,27.65,-1.2,0,0.4,1,3,2019,22.5,3,403.240765,-15,0.06127646,19.47133076
143,2019/1/3 23:00,0.4,1.6,100,0,27.65,-0.9,0,0.7,1,3,2019,23,3,406.3894492,-15.13333333,0.06127646,19.47133076
144,2019/1/3 23:30,0.4,1.5,100,0,27.65,-0.6,0,0.5,1,3,2019,23.5,3,404.2001679,-15.3,0.06127646,19.47133076
145,2019/1/4 0:00,0.3,1.5,100,0,27.65,-1.2,0,0.3,1,4,2019,0,4,404.8278728,-15.53333333,0.06127646,19.47133076
146,2019/1/4 0:30,0.5,1.5,100,0,27.65,-2.1,0,0.2,1,4,2019,0.5,4,403.8797425,-15.63333333,0.06127646,19.47133076
147,2019/1/4 1:00,0.4,1.5,100,0,27.65,-1.5,0,0.1,1,4,2019,1,4,397.0995673,-15.63333333,0.06127646,19.47133076
148,2019/1/4 1:30,0.6,1.5,100,0,27.65,-1.5,0,0.3,1,4,2019,1.5,4,395.3534922,-5.327303455,0.06127646,19.47133076
149,2019/1/4 2:00,0.6,1.5,100,0,27.65,-1.8,0,0.2,1,4,2019,2,4,396.2946429,-15.73333333,0.06127646,19.47133076
150,2019/1/4 2:30,0.7,1.5,100,0,27.65,-1.6,0,0.3,1,4,2019,2.5,4,393.5938149,-15.76666667,0.06127646,19.47133076
151,2019/1/4 3:00,0.5,1.5,100,0,27.65,-2.2,0,0.1,1,4,2019,3,4,393.0638751,-15.66666667,0.061905986,19.47133076
152,2019/1/4 3:30,0.4,1.5,100,0,27.65,-1.4,0,0.2,1,4,2019,3.5,4,393.3259653,-15.56666667,0.06127646,19.47133076
153,2019/1/4 4:00,0.5,1.6,100,0,27.7,-1.4,0,0.2,1,4,2019,4,4,394.0147255,-15.56666667,0.06127646,19.47133076
154,2019/1/4 4:30,0.4,1.6,100,0,27.7,-1.3,0,0.3,1,4,2019,4.5,4,397.1910987,-15.66666667,0.06127646,19.47133076
155,2019/1/4 5:00,0.4,1.6,100,0,27.7,-1.4,0,0.2,1,4,2019,5,4,396.0296585,-15.7,0.061905986,19.47133076
156,2019/1/4 5:30,0.3,1.6,100,0,27.7,-1.5,0,0.1,1,4,2019,5.5,4,399.7386476,-15.63333333,0.061905986,19.47133076
157,2019/1/4 6:00,0.6,1.6,100,0,27.7,-1.4,0,0,1,4,2019,6,4,398.3198719,-15.56666667,0.061905986,19.47133076
158,2019/1/4 6:30,0.7,1.7,100,0,27.7,-1.7,0,0.1,1,4,2019,6.5,4,398.7245417,-15.5,0.061905986,19.47133076
159,2019/1/4 7:00,0.7,1.7,100,0,27.7,-1.8,0,0.1,1,4,2019,7,4,398.7160238,-5.112586566,0.062539305,19.47133076
160,2019/1/4 7:30,0.4,1.7,100,0,27.7,-1.6,0,0.1,1,4,2019,7.5,4,399.108816,-15.4,0.062539305,19.47133076
161,2019/1/4 8:00,0.3,1.8,100,0,27.7,0.7,4.5,0.1,1,4,2019,8,4,399.4013783,-15.3,0.053312405,29.13673656
162,2019/1/4 8:30,0.4,1.8,100,0,27.7,11.8,25.6,0.1,1,4,2019,8.5,4,398.4927843,-15.23333333,-0.023305489,36.57096192
163,2019/1/4 9:00,0.3,2,100,0,27.7,33.4,64.7,0.2,1,4,2019,9,4,400.6986667,-15.06666667,-0.122388907,44.85891276
164,2019/1/4 9:30,0.3,2.3,100,0,27.7,56.6,105.9,0.1,1,4,2019,9.5,4,402.899586,-14.63333333,-0.191927715,51.42605296
165,2019/1/4 10:00,0.7,2.4,100,0,27.7,87.1,159.2,0.2,1,4,2019,10,4,403.5582753,-3.497869677,-0.252948883,55.6913283
166,2019/1/4 10:30,0.5,2.5,100,0,27.7,67.8,131.4,0.1,1,4,2019,10.5,4,404.2229034,-12.9,-0.224173336,52.77780837
167,2019/1/4 11:00,0.3,2.7,100,0,27.7,77.2,151.8,0,1,4,2019,11,4,405.4539436,-12.13333333,-0.245834885,59.23052648
168,2019/1/4 11:30,0.2,2.9,100,0,27.7,69.7,143.2,0,1,4,2019,11.5,4,406.4261642,-11.46666667,-0.237091009,0.952358807
169,2019/1/4 12:00,0.2,3.2,100,0,27.7,109.6,215.6,0,1,4,2019,12,4,407.5479102,-0.53120301,-0.297289869,43.43792113
170,2019/1/4 12:30,0.5,3.2,100,0,27.65,114.7,221.7,0,1,4,2019,12.5,4,402.9919131,-10.13333333,-0.301244264,46.70885227
171,2019/1/4 13:00,0.4,3.5,100,0,27.65,89.7,179.6,0,1,4,2019,13,4,391.6118531,-9.333333333,-0.270824988,49.9797834
172,2019/1/4 13:30,0.4,3.6,100,0,27.65,61.4,126.8,0,1,4,2019,13.5,4,391.1518336,-8.666666667,-0.196165983,44.08689034
173,2019/1/4 14:00,0.9,3.6,100,0,27.65,57.8,118.9,0,1,4,2019,14,4,391.2211649,2.022255878,-0.198105117,42.70547124
174,2019/1/4 14:30,1.4,3.5,100,0,27.6,52.4,108.2,0,1,4,2019,14.5,4,390.9577876,-8.066666667,-0.156252744,36.9596331
175,2019/1/4 15:00,1.2,3.5,100,0,27.6,54.2,110.6,0,1,4,2019,15,4,390.9223584,-8,-0.233012362,41.43265138
176,2019/1/4 15:30,1.2,3.4,100,0,27.6,44.4,92.8,0,1,4,2019,15.5,4,393.0187378,-7.9,-0.206785957,36.04460834
177,2019/1/4 16:00,1.2,3.5,100,0,27.6,41.3,86,0,1,4,2019,16,4,391.1195605,-7.9,-0.180559551,30.65656529
178,2019/1/4 16:30,1.3,3.6,99,0.1,27.55,45.6,94.1,0,1,4,2019,16.5,4,391.182936,-7.933333333,-0.19711744,28.16745494
179,2019/1/4 17:00,1,3.7,99,0.1,27.55,25.3,59.1,0,1,4,2019,17,4,391.6151109,2.229173656,-0.105362228,25.67834459
180,2019/1/4 17:30,1.1,3.7,98,0.2,27.45,13.7,35.2,0,1,4,2019,17.5,4,392.4372105,-8.066666667,-0.074577956,24.3975526
181,2019/1/4 18:00,1,3.6,99,0.1,27.45,0.6,11.1,0,1,4,2019,18,4,393.065315,-8.266666667,0.007019324,8.342008114
